Activation,Size (B),Last Fwd Use,First Bwd Use,Idle Gap,Recomp Ops,Recomp (ms)
relu__67,12845056,convolution_71,convolution_backward_83,1422,2,0.1150
convolution_71,12845056,cudnn_batch_norm_71,cudnn_batch_norm_backward_83,1416,0,0.0000
relu__66,51380224,add__95,convolution_backward_84,1415,3,1.0482
relu__68,12845056,convolution_72,convolution_backward_82,1406,2,0.1209
convolution_72,51380224,cudnn_batch_norm_72,cudnn_batch_norm_backward_82,1400,0,0.0000
convolution_73,12845056,cudnn_batch_norm_73,cudnn_batch_norm_backward_81,1382,0,0.0000
relu__70,12845056,convolution_74,convolution_backward_80,1372,2,0.1143
convolution_74,12845056,cudnn_batch_norm_74,cudnn_batch_norm_backward_80,1366,0,0.0000
relu__69,51380224,add__99,convolution_backward_81,1365,3,1.0530
relu__71,12845056,convolution_75,convolution_backward_79,1356,2,0.1141
convolution_75,51380224,cudnn_batch_norm_75,cudnn_batch_norm_backward_79,1350,0,0.0000
convolution_76,12845056,cudnn_batch_norm_76,cudnn_batch_norm_backward_78,1332,0,0.0000
relu__73,12845056,convolution_77,convolution_backward_77,1322,2,0.1143
convolution_77,12845056,cudnn_batch_norm_77,cudnn_batch_norm_backward_77,1316,0,0.0000
relu__72,51380224,add__103,convolution_backward_78,1315,3,1.0492
relu__74,12845056,convolution_78,convolution_backward_76,1306,2,0.1146
convolution_78,51380224,cudnn_batch_norm_78,cudnn_batch_norm_backward_76,1300,0,0.0000
convolution_79,12845056,cudnn_batch_norm_79,cudnn_batch_norm_backward_75,1282,0,0.0000
relu__76,12845056,convolution_80,convolution_backward_74,1272,2,0.1150
convolution_80,12845056,cudnn_batch_norm_80,cudnn_batch_norm_backward_74,1266,0,0.0000
relu__75,51380224,add__107,convolution_backward_75,1265,3,1.0512
relu__77,12845056,convolution_81,convolution_backward_73,1256,2,0.1123
convolution_81,51380224,cudnn_batch_norm_81,cudnn_batch_norm_backward_73,1250,0,0.0000
convolution_82,12845056,cudnn_batch_norm_82,cudnn_batch_norm_backward_72,1232,0,0.0000
relu__79,12845056,convolution_83,convolution_backward_71,1222,2,0.1154
convolution_83,12845056,cudnn_batch_norm_83,cudnn_batch_norm_backward_71,1216,0,0.0000
relu__78,51380224,add__111,convolution_backward_72,1215,3,1.0545
relu__80,12845056,convolution_84,convolution_backward_70,1206,2,0.1140
convolution_84,51380224,cudnn_batch_norm_84,cudnn_batch_norm_backward_70,1200,0,0.0000
convolution_85,12845056,cudnn_batch_norm_85,cudnn_batch_norm_backward_69,1182,0,0.0000
relu__82,12845056,convolution_86,convolution_backward_68,1172,2,0.1123
convolution_86,12845056,cudnn_batch_norm_86,cudnn_batch_norm_backward_68,1166,0,0.0000
relu__81,51380224,add__115,convolution_backward_69,1165,3,1.0489
relu__83,12845056,convolution_87,convolution_backward_67,1156,2,0.1130
convolution_87,51380224,cudnn_batch_norm_87,cudnn_batch_norm_backward_67,1150,0,0.0000
convolution_88,12845056,cudnn_batch_norm_88,cudnn_batch_norm_backward_66,1132,0,0.0000
relu__85,12845056,convolution_89,convolution_backward_65,1122,2,0.1133
convolution_89,12845056,cudnn_batch_norm_89,cudnn_batch_norm_backward_65,1116,0,0.0000
relu__84,51380224,add__119,convolution_backward_66,1115,3,1.0469
relu__86,12845056,convolution_90,convolution_backward_64,1106,2,0.1140
convolution_90,51380224,cudnn_batch_norm_90,cudnn_batch_norm_backward_64,1100,0,0.0000
convolution_91,12845056,cudnn_batch_norm_91,cudnn_batch_norm_backward_63,1082,0,0.0000
relu__88,12845056,convolution_92,convolution_backward_62,1072,2,0.1153
convolution_92,12845056,cudnn_batch_norm_92,cudnn_batch_norm_backward_62,1066,0,0.0000
relu__87,51380224,add__123,convolution_backward_63,1065,3,1.0498
relu__89,12845056,convolution_93,convolution_backward_61,1056,2,0.1123
convolution_93,51380224,cudnn_batch_norm_93,cudnn_batch_norm_backward_61,1050,0,0.0000
convolution_94,12845056,cudnn_batch_norm_94,cudnn_batch_norm_backward_60,1032,0,0.0000
relu__91,12845056,convolution_95,convolution_backward_59,1022,2,0.1134
convolution_95,12845056,cudnn_batch_norm_95,cudnn_batch_norm_backward_59,1016,0,0.0000
relu__90,51380224,add__127,convolution_backward_60,1015,3,1.0609
relu__92,12845056,convolution_96,convolution_backward_58,1006,2,0.1140
convolution_96,51380224,cudnn_batch_norm_96,cudnn_batch_norm_backward_58,1000,0,0.0000
convolution_97,12845056,cudnn_batch_norm_97,cudnn_batch_norm_backward_57,982,0,0.0000
relu__94,12845056,convolution_98,convolution_backward_56,972,2,0.1143
convolution_98,12845056,cudnn_batch_norm_98,cudnn_batch_norm_backward_56,966,0,0.0000
relu__93,51380224,add__131,convolution_backward_57,965,3,1.0498
relu__95,12845056,convolution_99,convolution_backward_55,956,2,0.2266
convolution_99,51380224,cudnn_batch_norm_99,cudnn_batch_norm_backward_55,950,0,0.0000
convolution_100,12845056,cudnn_batch_norm_100,cudnn_batch_norm_backward_54,932,0,0.0000
relu__97,12845056,convolution_101,convolution_backward_53,922,2,0.1178
convolution_101,12845056,cudnn_batch_norm_101,cudnn_batch_norm_backward_53,916,0,0.0000
relu__96,51380224,add__135,convolution_backward_54,915,3,1.0540
relu__98,12845056,convolution_102,convolution_backward_52,906,2,0.1130
convolution_102,51380224,cudnn_batch_norm_102,cudnn_batch_norm_backward_52,900,0,0.0000
convolution_103,12845056,cudnn_batch_norm_103,cudnn_batch_norm_backward_51,882,0,0.0000
relu__100,12845056,convolution_104,convolution_backward_50,872,2,0.1150
convolution_104,12845056,cudnn_batch_norm_104,cudnn_batch_norm_backward_50,866,0,0.0000
relu__99,51380224,add__139,convolution_backward_51,865,3,1.1658
relu__101,12845056,convolution_105,convolution_backward_49,856,2,0.1137
convolution_105,51380224,cudnn_batch_norm_105,cudnn_batch_norm_backward_49,850,0,0.0000
convolution_106,12845056,cudnn_batch_norm_106,cudnn_batch_norm_backward_48,832,0,0.0000
relu__103,12845056,convolution_107,convolution_backward_47,822,2,0.1130
convolution_107,12845056,cudnn_batch_norm_107,cudnn_batch_norm_backward_47,816,0,0.0000
relu__102,51380224,add__143,convolution_backward_48,815,3,1.0432
relu__104,12845056,convolution_108,convolution_backward_46,806,2,0.1136
convolution_108,51380224,cudnn_batch_norm_108,cudnn_batch_norm_backward_46,800,0,0.0000
convolution_109,12845056,cudnn_batch_norm_109,cudnn_batch_norm_backward_45,782,0,0.0000
relu__106,12845056,convolution_110,convolution_backward_44,772,2,0.1134
convolution_110,12845056,cudnn_batch_norm_110,cudnn_batch_norm_backward_44,766,0,0.0000
relu__105,51380224,add__147,convolution_backward_45,765,3,1.0526
relu__107,12845056,convolution_111,convolution_backward_43,756,2,0.1130
convolution_111,51380224,cudnn_batch_norm_111,cudnn_batch_norm_backward_43,750,0,0.0000
convolution_112,12845056,cudnn_batch_norm_112,cudnn_batch_norm_backward_42,732,0,0.0000
relu__109,12845056,convolution_113,convolution_backward_41,722,2,0.1146
convolution_113,12845056,cudnn_batch_norm_113,cudnn_batch_norm_backward_41,716,0,0.0000
relu__108,51380224,add__151,convolution_backward_42,715,3,1.0554
relu__110,12845056,convolution_114,convolution_backward_40,706,2,0.1140
convolution_114,51380224,cudnn_batch_norm_114,cudnn_batch_norm_backward_40,700,0,0.0000
convolution_115,12845056,cudnn_batch_norm_115,cudnn_batch_norm_backward_39,682,0,0.0000
relu__112,12845056,convolution_116,convolution_backward_38,672,2,0.1127
convolution_116,12845056,cudnn_batch_norm_116,cudnn_batch_norm_backward_38,666,0,0.0000
relu__111,51380224,add__155,convolution_backward_39,665,3,1.0503
relu__113,12845056,convolution_117,convolution_backward_37,656,2,0.1174
convolution_117,51380224,cudnn_batch_norm_117,cudnn_batch_norm_backward_37,650,0,0.0000
convolution_118,12845056,cudnn_batch_norm_118,cudnn_batch_norm_backward_36,632,0,0.0000
relu__115,12845056,convolution_119,convolution_backward_35,622,2,0.1139
convolution_119,12845056,cudnn_batch_norm_119,cudnn_batch_norm_backward_35,616,0,0.0000
relu__114,51380224,add__159,convolution_backward_36,615,3,1.0465
relu__116,12845056,convolution_120,convolution_backward_34,606,2,0.1134
convolution_120,51380224,cudnn_batch_norm_120,cudnn_batch_norm_backward_34,600,0,0.0000
convolution_121,12845056,cudnn_batch_norm_121,cudnn_batch_norm_backward_33,582,0,0.0000
relu__118,12845056,convolution_122,convolution_backward_32,572,2,0.1154
convolution_122,12845056,cudnn_batch_norm_122,cudnn_batch_norm_backward_32,566,0,0.0000
relu__117,51380224,add__163,convolution_backward_33,565,3,1.0442
relu__119,12845056,convolution_123,convolution_backward_31,556,2,0.1140
convolution_123,51380224,cudnn_batch_norm_123,cudnn_batch_norm_backward_31,550,0,0.0000
convolution_124,12845056,cudnn_batch_norm_124,cudnn_batch_norm_backward_30,532,0,0.0000
relu__121,12845056,convolution_125,convolution_backward_29,522,2,0.1173
convolution_125,12845056,cudnn_batch_norm_125,cudnn_batch_norm_backward_29,516,0,0.0000
relu__120,51380224,add__167,convolution_backward_30,515,3,1.0543
relu__122,12845056,convolution_126,convolution_backward_28,506,2,0.1129
convolution_126,51380224,cudnn_batch_norm_126,cudnn_batch_norm_backward_28,500,0,0.0000
convolution_127,12845056,cudnn_batch_norm_127,cudnn_batch_norm_backward_27,482,0,0.0000
relu__124,12845056,convolution_128,convolution_backward_26,472,2,0.1150
convolution_128,12845056,cudnn_batch_norm_128,cudnn_batch_norm_backward_26,466,0,0.0000
relu__123,51380224,add__171,convolution_backward_27,465,3,1.0581
relu__125,12845056,convolution_129,convolution_backward_25,456,2,0.1106
convolution_129,51380224,cudnn_batch_norm_129,cudnn_batch_norm_backward_25,450,0,0.0000
convolution_130,12845056,cudnn_batch_norm_130,cudnn_batch_norm_backward_24,432,0,0.0000
